id_partido	competition	fixture	date	city	stadium	resultado	home_team	away_team
3872580	División de Honor Juvenil	Jornada 4	01/10/2022 16:00h	Ciudad: Majadahonda	Estadio: Campos Municipales Valle de la Oliva	0 - 3	C.F. Rayo Majadahonda	Real Madrid C.F.
3872581	División de Honor Juvenil	Jornada 4	01/10/2022 16:00h	Ciudad: Caceres	Estadio: Federación de Caceres	2 - 2	C.D. Col. Diocesano	C. y D. Leonesa S.A.D.
3872582	División de Honor Juvenil	Jornada 5	08/10/2022 12:00h	Ciudad: Alcalá De Henares	Estadio: C.D. WANDA ALCALÁ (natural)	3 - 1	Club Atlético de Madrid SAD	C.F. Fuenlabrada SAD
3872583	División de Honor Juvenil	Jornada 5	08/10/2022 17:30h	Ciudad: Villanueva De La Serena	Estadio: Anexo Estadio Villanovense	3 - 0	U.D. La Cruz Villanovense	C.D.I. de la Amistad
3872584	División de Honor Juvenil	Jornada 5	08/10/2022 16:00h	Ciudad: Getafe	Estadio: Ciudad Deportiva Getafe	2 - 0	Getafe C.F. SAD	C.D. Badajoz 1905
3872585	División de Honor Juvenil	Jornada 5	09/10/2022 12:00h	Ciudad: Valladolid	Estadio: Anexos E.M. José Zorrilla 3	1 - 1	Real Valladolid C.F. S.A.D.	AD Sporting Hortaleza
3872586	División de Honor Juvenil	Jornada 5	08/10/2022 18:00h	Ciudad: Madrid	Estadio: C.Dep. Fundacion Rayo Vallecano - Campo 4	2 - 1	Rayo Vallecano de Madrid SAD	C.D. Leganés SAD
3872587	División de Honor Juvenil	Jornada 5	08/10/2022 16:00h	Ciudad: Alcorcón	Estadio: Santo Domingo	0 - 0	A.D. Alcorcón SAD	C.F. Rayo Majadahonda
3872588	División de Honor Juvenil	Jornada 5	08/10/2022 16:00h	Ciudad: Valdebebas	Estadio: Ciudad Real Madrid	5 - 2	Real Madrid C.F.	C.D. Col. Diocesano
3872589	División de Honor Juvenil	Jornada 5	08/10/2022 16:00h	Ciudad: Alcobendas	Estadio: Polideportivo Municipal Ciudad Deportiva Valdelasfuentes	0 - 1	Rayo Ciudad Alcobendas CF	C. y D. Leonesa S.A.D.
3872590	División de Honor Juvenil	Jornada 6	16/10/2022 12:00h	Ciudad: Moraleja De Enmedio	Estadio: Moraleja de Enmedio - La Dehesa	0 - 1	C.F. Fuenlabrada SAD	Rayo Ciudad Alcobendas CF
3872591	División de Honor Juvenil	Jornada 6	16/10/2022 12:00h	Ciudad: Palencia	Estadio: E.M. Nueva Balastera	1 - 4	C.D.I. de la Amistad	Club Atlético de Madrid SAD
3872592	División de Honor Juvenil	Jornada 6	16/10/2022 14:00h	Ciudad: Badajoz	Estadio: Campos Federativos Eusebio Bejarano Vilaro	2 - 1	C.D. Badajoz 1905	U.D. La Cruz Villanovense
3872593	División de Honor Juvenil	Jornada 6	16/10/2022 17:30h	Ciudad: Madrid	Estadio: Municipal Sporting de Hortaleza	3 - 1	AD Sporting Hortaleza	Getafe C.F. SAD
3872594	División de Honor Juvenil	Jornada 6	16/10/2022 16:30h	Ciudad: Leganés	Estadio: Instalación Deportiva Butarque	2 - 1	C.D. Leganés SAD	Real Valladolid C.F. S.A.D.
3872595	División de Honor Juvenil	Jornada 6	15/10/2022 17:00h	Ciudad: Majadahonda	Estadio: Campos Municipales Valle de la Oliva	1 - 1	C.F. Rayo Majadahonda	Rayo Vallecano de Madrid SAD
3872596	División de Honor Juvenil	Jornada 6	15/10/2022 16:00h	Ciudad: Caceres	Estadio: Federación de Caceres	0 - 1	C.D. Col. Diocesano	A.D. Alcorcón SAD
3872597	División de Honor Juvenil	Jornada 6	16/10/2022 12:00h	Ciudad: Leon	Estadio: Area D. de Puente Castro 1	1 - 2	C. y D. Leonesa S.A.D.	Real Madrid C.F.
3872598	División de Honor Juvenil	Jornada 7	23/10/2022 12:00h	Ciudad: Moraleja De Enmedio	Estadio: Moraleja de Enmedio - La Dehesa	3 - 0	C.F. Fuenlabrada SAD	C.D.I. de la Amistad
3872599	División de Honor Juvenil	Jornada 7	22/10/2022 17:00h	Ciudad: Alcalá De Henares	Estadio: C.D. ALCALÁ (natural)	5 - 0	Club Atlético de Madrid SAD	C.D. Badajoz 1905
3872600	División de Honor Juvenil	Jornada 7	23/10/2022 12:00h	Ciudad: Villanueva De La Serena	Estadio: Anexo Estadio Villanovense	3 - 1	U.D. La Cruz Villanovense	AD Sporting Hortaleza
3872601	División de Honor Juvenil	Jornada 7	22/10/2022 16:00h	Ciudad: Getafe	Estadio: Ciudad Deportiva Getafe	1 - 2	Getafe C.F. SAD	C.D. Leganés SAD
3872602	División de Honor Juvenil	Jornada 7	22/10/2022 11:00h	Ciudad: Valladolid	Estadio: Anexos E.M. José Zorrilla 3	3 - 1	Real Valladolid C.F. S.A.D.	C.F. Rayo Majadahonda
3872603	División de Honor Juvenil	Jornada 7	22/10/2022 17:00h	Ciudad: Madrid	Estadio: C.Dep. Fundacion Rayo Vallecano - Campo 4	2 - 1	Rayo Vallecano de Madrid SAD	C.D. Col. Diocesano
3872604	División de Honor Juvenil	Jornada 7	23/10/2022 16:00h	Ciudad: Alcorcon	Estadio: Santo Domingo	2 - 1	A.D. Alcorcón SAD	C. y D. Leonesa S.A.D.
3872605	División de Honor Juvenil	Jornada 7	22/10/2022 16:00h	Ciudad: Alcobendas	Estadio: Polideportivo Municipal Ciudad Deportiva Valdelasfuentes	0 - 4	Rayo Ciudad Alcobendas CF	Real Madrid C.F.
3872606	División de Honor Juvenil	Jornada 8	30/10/2022 12:00h	Ciudad: Palencia	Estadio: E.M. Nueva Balastera	0 - 3	C.D.I. de la Amistad	Rayo Ciudad Alcobendas CF
3872607	División de Honor Juvenil	Jornada 8	30/10/2022 12:00h	Ciudad: Badajoz	Estadio: Campos Federativos Eusebio Bejarano Vilaro	1 - 3	C.D. Badajoz 1905	C.F. Fuenlabrada SAD
3872608	División de Honor Juvenil	Jornada 8	29/10/2022 17:30h	Ciudad: Madrid	Estadio: Municipal Sporting de Hortaleza	0 - 6	AD Sporting Hortaleza	Club Atlético de Madrid SAD
3872609	División de Honor Juvenil	Jornada 8	30/10/2022 16:15h	Ciudad: Leganés	Estadio: Instalación Deportiva Butarque	2 - 1	C.D. Leganés SAD	U.D. La Cruz Villanovense
3872610	División de Honor Juvenil	Jornada 8	29/10/2022 16:00h	Ciudad: Majadahonda	Estadio: Campos Municipales Valle de la Oliva	3 - 0	C.F. Rayo Majadahonda	Getafe C.F. SAD
3872611	División de Honor Juvenil	Jornada 8	29/10/2022 16:00h	Ciudad: Caceres	Estadio: Federación de Caceres	2 - 1	C.D. Col. Diocesano	Real Valladolid C.F. S.A.D.
3872612	División de Honor Juvenil	Jornada 8	29/10/2022 13:30h	Ciudad: Leon	Estadio: Area D. de Puente Castro 1	0 - 0	C. y D. Leonesa S.A.D.	Rayo Vallecano de Madrid SAD
3872613	División de Honor Juvenil	Jornada 8	29/10/2022 19:00h	Ciudad: Valdebebas	Estadio: Ciudad Real Madrid	2 - 0	Real Madrid C.F.	A.D. Alcorcón SAD
3872614	División de Honor Juvenil	Jornada 9	06/11/2022 12:00h	Ciudad: Palencia	Estadio: E.M. Nueva Balastera	2 - 0	C.D.I. de la Amistad	C.D. Badajoz 1905
3872615	División de Honor Juvenil	Jornada 9	06/11/2022 11:00h	Ciudad: Moraleja De Enmedio	Estadio: Moraleja de Enmedio - La Dehesa	2 - 0	C.F. Fuenlabrada SAD	AD Sporting Hortaleza
3872616	División de Honor Juvenil	Jornada 9	06/11/2022 12:00h	Ciudad: Alcalá De Henares	Estadio: ESTADIO C.D. WANDA ALCALÁ DE HENARES	4 - 0	Club Atlético de Madrid SAD	C.D. Leganés SAD
3872617	División de Honor Juvenil	Jornada 9	05/11/2022 17:00h	Ciudad: Villanueva De La Serena	Estadio: Anexo Estadio Villanovense	0 - 3	U.D. La Cruz Villanovense	C.F. Rayo Majadahonda
3872618	División de Honor Juvenil	Jornada 9	06/11/2022 16:00h	Ciudad: Getafe	Estadio: Ciudad Deportiva Getafe	5 - 3	Getafe C.F. SAD	C.D. Col. Diocesano
3872619	División de Honor Juvenil	Jornada 9	05/11/2022 13:00h	Ciudad: Valladolid	Estadio: Anexos E.M. José Zorrilla 3	3 - 1	Real Valladolid C.F. S.A.D.	C. y D. Leonesa S.A.D.
3872620	División de Honor Juvenil	Jornada 9	06/11/2022 17:00h	Ciudad: Madrid	Estadio: C.Dep. Fundacion Rayo Vallecano - Campo 4	0 - 3	Rayo Vallecano de Madrid SAD	Real Madrid C.F.
3872621	División de Honor Juvenil	Jornada 9	05/11/2022 16:00h	Ciudad: Alcobendas	Estadio: Polideportivo Municipal Ciudad Deportiva Valdelasfuentes	0 - 0	Rayo Ciudad Alcobendas CF	A.D. Alcorcón SAD
3872622	División de Honor Juvenil	Jornada 10	13/11/2022 13:00h	Ciudad: Badajoz	Estadio: Campos Federativos Eusebio Bejarano Vilaro	0 - 2	C.D. Badajoz 1905	Rayo Ciudad Alcobendas CF
3872623	División de Honor Juvenil	Jornada 10	13/11/2022 17:45h	Ciudad: Madrid	Estadio: Municipal Sporting de Hortaleza	1 - 1	AD Sporting Hortaleza	C.D.I. de la Amistad
3872624	División de Honor Juvenil	Jornada 10	13/11/2022 15:45h	Ciudad: Leganés	Estadio: Instalación Deportiva Butarque	1 - 1	C.D. Leganés SAD	C.F. Fuenlabrada SAD
3872625	División de Honor Juvenil	Jornada 10	13/11/2022 17:00h	Ciudad: Majadahonda	Estadio: Campos Municipales Valle de la Oliva	0 - 2	C.F. Rayo Majadahonda	Club Atlético de Madrid SAD
3872626	División de Honor Juvenil	Jornada 10	12/11/2022 18:00h	Ciudad: Cáceres	Estadio: Federación de Caceres	1 - 1	C.D. Col. Diocesano	U.D. La Cruz Villanovense
3872627	División de Honor Juvenil	Jornada 10	12/11/2022 13:30h	Ciudad: Leon	Estadio: Area D. de Puente Castro 1	0 - 2	C. y D. Leonesa S.A.D.	Getafe C.F. SAD
3872628	División de Honor Juvenil	Jornada 10	13/11/2022 12:00h	Ciudad: Valdebebas	Estadio: Ciudad Real Madrid	5 - 1	Real Madrid C.F.	Real Valladolid C.F. S.A.D.
3872629	División de Honor Juvenil	Jornada 10	12/11/2022 16:00h	Ciudad: Alcorcón	Estadio: Santo Domingo	3 - 1	A.D. Alcorcón SAD	Rayo Vallecano de Madrid SAD
3872630	División de Honor Juvenil	Jornada 11	20/11/2022 12:00h	Ciudad: Badajoz	Estadio: Campos Federativos Eusebio Bejarano Vilaro	1 - 2	C.D. Badajoz 1905	AD Sporting Hortaleza
3872631	División de Honor Juvenil	Jornada 11	20/11/2022 12:00h	Ciudad: Palencia	Estadio: Campos del C.I. Amistad 1	0 - 2	C.D.I. de la Amistad	C.D. Leganés SAD
