id_partido	team	scorers
3872601	home	<li>Fernandez 79' </li>
3872601	away	<li>Magariño 50' </li>
3872602	home	<li>Nico 17' </li>
3872602	home	<li>Alejandro 34' </li>
3872602	home	<li>De Azevedo 89' </li>
3872602	away	<li>Garcia 81' </li>
3872603	home	<li>Ybarra 2' </li>
3872603	home	<li>Nater 33' </li>
3872603	away	<li>Garcia 90' </li>
3872604	home	<li>Joaquin 58' </li>
3872604	home	<li>Fernandez 83' (P)</li>
3872604	away	<li>Diego 34' </li>
3872605	away	<li>Moran 35' (P)</li>
3872605	away	<li>Cesar 2' </li>
3872605	away	<li>Hernandez 8' </li>
3872605	away	<li>Fortuny 67' </li>
3872606	away	<li>Manuel 8' </li>
3872606	away	<li>Carvajal 59' </li>
3872606	away	<li>Toribio 89' </li>
3872607	home	<li>Conejero 13' </li>
3872607	home	<li>Lopez 27' (PP)</li>
3872607	away	<li>Sierra 90' </li>
3872607	away	<li>Sevillano 40' </li>
3872608	away	<li>Martinez 61' </li>
3872608	away	<li>Gomez 54' </li>
3872608	away	<li>Denia 25' </li>
3872608	away	<li>Alvaro 28' </li>
3872608	away	<li>Niño 17' </li>
3872608	away	<li>Raihani 89' (P)</li>
3872609	home	<li>Adrian 49' </li>
3872609	home	<li>Magariño 80' (P)</li>
3872609	away	<li>Fernandez 71' </li>
3872610	home	<li>Cabezas 44' </li>
3872610	home	<li>Cabezas 42' </li>
3872610	home	<li>Cabezas 61' </li>
3872611	home	<li>Carlos 81' (P)</li>
3872611	home	<li>Carlos 89' </li>
3872611	away	<li>Sergio 33' </li>
3872613	home	<li>Alonso 41' </li>
3872613	home	<li>Hernandez 90' </li>
3872614	home	<li>Daniel 82' </li>
3872614	home	<li>Santiago 12' </li>
3872615	home	<li>Daniel 61' </li>
3872615	home	<li>Daniel 70' </li>
3872616	home	<li>Fabian 2' </li>
3872616	home	<li>Niño 26' </li>
3872616	home	<li>Raihani 68' </li>
3872616	home	<li>Raihani 88' </li>
3872617	away	<li>Fernandez 5' </li>
3872617	away	<li>Garcia 1' </li>
3872617	away	<li>Tallal 64' </li>
3872618	home	<li>Raul Martin 84' (P)</li>
3872618	home	<li>Blanco 23' </li>
3872618	home	<li>Llorente 86' </li>
3872618	home	<li>Pujol 15' </li>
3872618	home	<li>Pujol 18' </li>
3872618	away	<li>Rosa 17' </li>
3872618	away	<li>Garcia 13' </li>
3872618	away	<li>Vivas 79' </li>
3872619	home	<li>Sergio 73' </li>
3872619	home	<li>Aday 34' </li>
3872619	home	<li>De Azevedo 90' </li>
3872619	away	<li>Guzman 2' </li>
3872620	away	<li>Garcia 19' </li>
3872620	away	<li>Garcia 76' </li>
3872620	away	<li>Paz 68' </li>
3872622	away	<li>Manuel 79' </li>
3872622	away	<li>Carvajal 32' </li>
3872623	home	<li>Miguel 16' </li>
3872623	away	<li>David 89' </li>
3872624	away	<li>Martinez 2' </li>
3872624	away	<li>Cordero 43' (PP)</li>
3872625	away	<li>Niño 16' </li>
3872625	away	<li>Fabian 90' </li>
3872626	home	<li>Carlos 86' </li>
3872626	away	<li>Foldi 56' </li>
3872627	away	<li>Fernandez 15' </li>
3872627	away	<li>Fernandez 25' </li>
3872628	home	<li>Garcia 6' </li>
3872628	home	<li>Garcia 61' </li>
3872628	home	<li>Moran 55' (P)</li>
3872628	home	<li>Cesar 16' </li>
3872628	home	<li>Herrero 83' (P)</li>
3872628	away	<li>Alejandro 86' </li>
3872629	home	<li>Garcia 9' </li>
3872629	home	<li>Fernandez 38' (P)</li>
3872629	home	<li>Garcia 88' </li>
3872629	away	<li>Lopez 72' </li>
3872630	home	<li>Tamudo 82' </li>
3872630	away	<li>Andres 15' </li>
3872630	away	<li>Mciver 67' </li>
3872631	away	<li>Sanchez 84' </li>
3872631	away	<li>Magariño 66' </li>
3872632	home	<li>Sevillano 72' </li>
3872633	home	<li>Denia 13' </li>
3872633	home	<li>Raihani 90' </li>
3872633	away	<li>Peña 70' </li>
3872634	home	<li>Jorge 11' </li>
3872634	home	<li>Jorge 90' </li>
3872635	away	<li>Julen 20' </li>
3872635	away	<li>Moran 75' </li>
3872635	away	<li>Cesar 83' </li>
3872636	home	<li>Alejandro 65' </li>
3872637	home	<li>Carvajal 11' </li>
3872637	home	<li>Carvajal 33' </li>
3872637	away	<li>Robles 52' (P)</li>
3872637	away	<li>Nater 17' </li>
3872637	away	<li>Alonso 77' </li>
3872638	home	<li>Javier 65' </li>
3872638	away	<li>Peña 89' </li>
3872639	home	<li>Magariño 30' </li>
3872639	home	<li>Moreno 4' </li>
3872640	home	<li>Herrero 7' </li>
3872640	home	<li>Almuzara 24' </li>
3872640	home	<li>Garcia 90' </li>
3872640	home	<li>Tallal 86' </li>
3872640	away	<li>Santiago 54' </li>
3872641	home	<li>Rosa 17' </li>
3872641	away	<li>Sevillano 47' </li>
3872642	away	<li>Niño 75' </li>
3872643	home	<li>Jimenez 89' </li>
3872643	home	<li>Garcia 31' </li>
3872643	home	<li>Garcia 50' </li>
3872643	home	<li>Moran 26' </li>
3872643	home	<li>Cesar 3' </li>
3872643	home	<li>Yeray 87' </li>
3872644	home	<li>Fernandez 58' (P)</li>
3872644	home	<li>Elias 78' </li>
3872644	away	<li>Llorente 48' </li>
3872644	away	<li>Fernandez 76' </li>
3872644	away	<li>Fernandez 90' </li>
3872644	away	<li>Rovira 90' </li>
3872645	home	<li>Nater 57' </li>
3872645	home	<li>Becerra 65' </li>
3872645	away	<li>Nico 35' </li>
3872645	away	<li>Alejandro 29' </li>
3872645	away	<li>Hector Nieto 71' </li>
3872646	away	<li>Puente 56' </li>
3872647	home	<li>Jimenez 4' (P)</li>
3872649	home	<li>Amaro 26' </li>
3872649	away	<li>Mobark Shanan 32' </li>
3872651	away	<li>Garcia 45' </li>
3872651	away	<li>Joaquin 54' </li>
3872651	away	<li>Di Domenico 51' </li>
3872652	away	<li>Joan Javier 40' </li>
3872653	home	<li>Carvajal 75' </li>
3872654	away	<li>Moreno 11' </li>
3872655	home	<li>Almuzara 89' </li>
3872655	home	<li>Garcia 75' </li>
3872657	home	<li>Diego 26' </li>
3872657	home	<li>Juan 34' </li>
3872657	home	<li>Adrian 7' </li>
3872657	home	<li>Iker 87' </li>
3872657	home	<li>Jose Carlos 80' </li>
3872658	home	<li>Garcia 2' </li>
3872658	home	<li>Garcia 45' </li>
3872658	home	<li>Moran 30' </li>
3872658	home	<li>Paz 67' (P)</li>
3872658	home	<li>Cesar 8' </li>
3872658	home	<li>Cesar 73' </li>
3872658	home	<li>Fortuny 33' </li>
3872658	home	<li>Alonso 78' </li>
3872659	home	<li>Fernandez 22' </li>
3872659	away	<li>Niño 33' </li>
3872660	home	<li>Joan Javier 69' </li>
3872661	away	<li>Perez 63' </li>
3872661	away	<li>Perez 77' </li>
3872661	away	<li>Kawecki 25' </li>
3872662	away	<li>Cabezas 1' </li>
3872662	away	<li>Tallal 82' </li>
3872662	away	<li>Cabezas 80' </li>
3872663	home	<li>Miguel 43' </li>
3872663	away	<li>Pablo 54' </li>
3872665	away	<li>Piñeiro 82' (PP)</li>
3872665	away	<li>Garcia 44' </li>
3872665	away	<li>Garcia 62' </li>
3872665	away	<li>Garcia 76' </li>
3872665	away	<li>Cesar 90' </li>
3872665	away	<li>Fortuny 33' </li>
3872667	home	<li>Niño 47' (P)</li>
3872667	home	<li>Raihani 50' </li>
3872667	home	<li>Raihani 65' </li>
3872667	home	<li>Gonzalez 82' </li>
3872667	home	<li>Gomez 86' </li>
3872667	away	<li>Becerra 31' </li>
3872668	home	<li>Alvaro 31' (P)</li>
3872669	home	<li>Martin 43' </li>
3872669	away	<li>Manuel 66' </li>
3872669	away	<li>Carvajal 90' </li>
