id_partido	team	jugador	minuto_gol	propia_puerta	penalty
3872607	home	Lopez 	27	True	False
3872607	away	Sierra 	90	False	False
3872607	away	Sevillano 	40	False	False
3872608	away	Martinez 	61	False	False
3872608	away	Gomez 	54	False	False
3872608	away	Denia 	25	False	False
3872608	away	Alvaro 	28	False	False
3872608	away	Ni	17	False	False
3872608	away	Raihani 	89	False	True
3872609	home	Adrian 	49	False	False
3872609	home	Magari	80	False	True
3872609	away	Fernandez 	71	False	False
3872610	home	Cabezas 	44	False	False
3872610	home	Cabezas 	42	False	False
3872610	home	Cabezas 	61	False	False
3872611	home	Carlos 	81	False	True
3872611	home	Carlos 	89	False	False
3872611	away	Sergio 	33	False	False
3872613	home	Alonso 	41	False	False
3872613	home	Hernandez 	90	False	False
3872614	home	Daniel 	82	False	False
3872614	home	Santiago 	12	False	False
3872615	home	Daniel 	61	False	False
3872615	home	Daniel 	70	False	False
3872616	home	Fabian 	2	False	False
3872616	home	Ni	26	False	False
3872616	home	Raihani 	68	False	False
3872616	home	Raihani 	88	False	False
3872617	away	Fernandez 	5	False	False
3872617	away	Garcia 	1	False	False
3872617	away	Tallal 	64	False	False
3872618	home	Raul Martin 	84	False	True
3872618	home	Blanco 	23	False	False
3872618	home	Llorente 	86	False	False
3872618	home	Pujol 	15	False	False
3872618	home	Pujol 	18	False	False
3872618	away	Rosa 	17	False	False
3872618	away	Garcia 	13	False	False
3872618	away	Vivas 	79	False	False
3872619	home	Sergio 	73	False	False
3872619	home	Aday 	34	False	False
3872619	home	De Azevedo 	90	False	False
3872619	away	Guzman 	2	False	False
3872620	away	Garcia 	19	False	False
3872620	away	Garcia 	76	False	False
3872620	away	Paz 	68	False	False
3872622	away	Manuel 	79	False	False
3872622	away	Carvajal 	32	False	False
3872623	home	Miguel 	16	False	False
3872623	away	David 	89	False	False
3872624	away	Martinez 	2	False	False
3872624	away	Cordero 	43	True	False
3872625	away	Ni	16	False	False
3872625	away	Fabian 	90	False	False
3872626	home	Carlos 	86	False	False
3872626	away	Foldi 	56	False	False
3872627	away	Fernandez 	15	False	False
3872627	away	Fernandez 	25	False	False
3872628	home	Garcia 	6	False	False
3872628	home	Garcia 	61	False	False
3872628	home	Moran 	55	False	True
3872628	home	Cesar 	16	False	False
3872628	home	Herrero 	83	False	True
3872628	away	Alejandro 	86	False	False
3872629	home	Garcia 	9	False	False
3872629	home	Fernandez 	38	False	True
3872629	home	Garcia 	88	False	False
3872629	away	Lopez 	72	False	False
3872630	home	Tamudo 	82	False	False
3872630	away	Andres 	15	False	False
3872630	away	Mciver 	67	False	False
3872631	away	Sanchez 	84	False	False
3872631	away	Magari	66	False	False
3872632	home	Sevillano 	72	False	False
3872633	home	Denia 	13	False	False
3872633	home	Raihani 	90	False	False
3872633	away	Pe	70	False	False
3872634	home	Jorge 	11	False	False
3872634	home	Jorge 	90	False	False
3872635	away	Julen 	20	False	False
3872635	away	Moran 	75	False	False
3872635	away	Cesar 	83	False	False
3872636	home	Alejandro 	65	False	False
3872637	home	Carvajal 	11	False	False
3872637	home	Carvajal 	33	False	False
3872637	away	Robles 	52	False	True
3872637	away	Nater 	17	False	False
3872637	away	Alonso 	77	False	False
3872638	home	Javier 	65	False	False
3872638	away	Pe	89	False	False
3872639	home	Magari	30	False	False
3872639	home	Moreno 	4	False	False
3872640	home	Herrero 	7	False	False
3872640	home	Almuzara 	24	False	False
3872640	home	Garcia 	90	False	False
3872640	home	Tallal 	86	False	False
3872640	away	Santiago 	54	False	False
3872641	home	Rosa 	17	False	False
3872641	away	Sevillano 	47	False	False
3872642	away	Ni	75	False	False
3872643	home	Jimenez 	89	False	False
3872643	home	Garcia 	31	False	False
3872643	home	Garcia 	50	False	False
3872643	home	Moran 	26	False	False
3872643	home	Cesar 	3	False	False
3872643	home	Yeray 	87	False	False
3872644	home	Fernandez 	58	False	True
3872644	home	Elias 	78	False	False
3872644	away	Llorente 	48	False	False
3872644	away	Fernandez 	76	False	False
3872644	away	Fernandez 	90	False	False
3872644	away	Rovira 	90	False	False
3872645	home	Nater 	57	False	False
3872645	home	Becerra 	65	False	False
3872645	away	Nico 	35	False	False
3872645	away	Alejandro 	29	False	False
3872645	away	Hector Nieto 	71	False	False
3872646	away	Puente 	56	False	False
3872647	home	Jimenez 	4	False	True
3872649	home	Amaro 	26	False	False
3872649	away	Mobark Shanan 	32	False	False
3872651	away	Garcia 	45	False	False
3872651	away	Joaquin 	54	False	False
3872651	away	Di Domenico 	51	False	False
3872652	away	Joan Javier 	40	False	False
3872653	home	Carvajal 	75	False	False
3872654	away	Moreno 	11	False	False
3872655	home	Almuzara 	89	False	False
3872655	home	Garcia 	75	False	False
3872657	home	Diego 	26	False	False
3872657	home	Juan 	34	False	False
3872657	home	Adrian 	7	False	False
3872657	home	Iker 	87	False	False
3872657	home	Jose Carlos 	80	False	False
3872658	home	Garcia 	2	False	False
3872658	home	Garcia 	45	False	False
3872658	home	Moran 	30	False	False
3872658	home	Paz 	67	False	True
3872658	home	Cesar 	8	False	False
3872658	home	Cesar 	73	False	False
3872658	home	Fortuny 	33	False	False
3872658	home	Alonso 	78	False	False
3872659	home	Fernandez 	22	False	False
3872659	away	Ni	33	False	False
3872660	home	Joan Javier 	69	False	False
3872661	away	Perez 	63	False	False
3872661	away	Perez 	77	False	False
3872661	away	Kawecki 	25	False	False
3872662	away	Cabezas 	1	False	False
3872662	away	Tallal 	82	False	False
3872662	away	Cabezas 	80	False	False
3872663	home	Miguel 	43	False	False
3872663	away	Pablo 	54	False	False
3872665	away	Pi	82	True	False
3872665	away	Garcia 	44	False	False
3872665	away	Garcia 	62	False	False
3872665	away	Garcia 	76	False	False
3872665	away	Cesar 	90	False	False
3872665	away	Fortuny 	33	False	False
3872667	home	Ni	47	False	True
3872667	home	Raihani 	50	False	False
3872667	home	Raihani 	65	False	False
3872667	home	Gonzalez 	82	False	False
3872667	home	Gomez 	86	False	False
3872667	away	Becerra 	31	False	False
3872668	home	Alvaro 	31	False	True
3872669	home	Martin 	43	False	False
3872669	away	Manuel 	66	False	False
3872669	away	Carvajal 	90	False	False
3872669	away	Remolins 	58	False	False
3872670	home	Morales 	87	False	True
3872670	home	Manuel 	61	False	False
3872670	away	Herranz 	90	False	False
3872670	away	Blanco 	57	False	False
3872670	away	Perez 	10	False	False
3872671	home	Ni	13	False	False
3872671	home	Enmanuel 	5	False	False
3872671	home	Raihani 	33	False	False
3872672	home	Sevillano 	20	False	False
3872672	home	Amaro 	73	False	False
3872672	away	Joan Javier 	80	False	False
3872672	away	Alonso 	89	False	False
3872673	home	Sergio M	35	False	False
3872673	home	Mario 	63	False	True
3872674	away	Yeray 	1	False	False
3872674	away	Yeray 	75	False	False
3872674	away	Alonso 	64	False	False
3872675	home	Marcos 	64	False	False
3872675	home	Lastra 	37	False	False
3872675	home	Miguel 	68	False	False
3872675	away	Jairo 	12	False	False
3872676	home	Moreno 	50	False	False
3872676	home	Moreno 	85	False	False
3872676	home	Mota 	16	False	False
3872676	away	Roman 	34	False	True
3872677	home	Cabezas 	39	False	True
3872677	away	Remolins 	52	False	False
3872677	away	Arriba 	30	False	False
3872678	home	Carvajal 	39	False	False
3872678	home	De Oro 	74	False	False
3872678	home	Martin 	84	False	False
