id_partido	team	minutes	dorsal	jugador	titular	suplente
3872554	home	90	1	Piñeiro	True	False
3872554	home	90	2	Jimenez	True	False
3872554	home	90	3	Gomez	True	False
3872554	home	90	5	Serrano	True	False
3872554	home	56	6	Cucalon	True	False
3872554	home	90	7	Garcia	True	False
3872554	home	64	8	Julen	True	False
3872554	home	56	10	Cesar	True	False
3872554	home	72	11	Yeray	True	False
3872554	home	90	24	Ramon	True	False
3872554	home	72	27	Hernandez	True	False
3872554	away	73	1	Perez	True	False
3872554	away	61	4	Izquierdo	True	False
3872554	away	90	5	Lozano	True	False
3872554	away	27	6	Barroso	True	False
3872554	away	90	8	Rojas	True	False
3872554	away	73	9	Gonzalez	True	False
3872554	away	90	11	Conejero	True	False
3872554	away	90	14	Molina	True	False
3872554	away	90	19	Palacios	True	False
3872554	away	90	22	Lopez	True	False
3872554	away	46	23	Martin	True	False
3872554	home	0	4	Camero	False	True
3872554	home	18	9	Herrero	False	True
3872554	home	0	13	Quetglas	False	True
3872554	home	34	15	Paz	False	True
3872554	home	26	17	Moran	False	True
3872554	home	18	23	Fortuny	False	True
3872554	home	34	26	Chema	False	True
3872554	away	29	7	Tamudo	False	True
3872554	away	44	17	Rodriguez	False	True
3872554	away	17	25	Gragera	False	True
3872554	away	63	26	Corchero	False	True
3872554	away	0	27	Garcia	False	True
3872554	away	17	28	Robles	False	True
3872554	away	0	29	Andrade	False	True
3872555	home	90	1	Adrian	True	False
3872555	home	90	2	Guzman	True	False
3872555	home	78	3	Sergio	True	False
3872555	home	90	4	Alvano	True	False
3872555	home	90	5	Jairo	True	False
3872555	home	78	6	Oliver	True	False
3872555	home	90	7	Jose Carlos	True	False
3872555	home	90	8	Adrian	True	False
3872555	home	78	9	Arturo	True	False
3872555	home	65	10	Roberto	True	False
3872555	home	51	11	Manuel	True	False
3872555	away	90	2	Adino	True	False
3872555	away	90	3	Alvaro	True	False
3872555	away	90	5	Jorge	True	False
3872555	away	72	6	Javier	True	False
3872555	away	82	7	Ivan	True	False
3872555	away	90	8	Andres	True	False
3872555	away	82	9	Jesus Javier	True	False
3872555	away	72	10	Marcos	True	False
3872555	away	90	13	Martinez	True	False
3872555	away	51	23	Raul	True	False
3872555	away	90	24	Miguel	True	False
3872555	home	12	12	Hugo	False	True
